Jurisdicción,Vivienda propia,Internet
Catamarca,77.8,66.8
Chaco,75,64
Chubut,61,79
Córdoba,58.7,78.7
Corrientes,70.3,59.1
Entre Ríos,66.4,76
Formosa,73.1,57.5
Jujuy,73.7,68.4
La Pampa,64.5,85.8
La Rioja,71.8,77.2
Mendoza,60.6,76.5
Misiones,72.1,63.9
Neuquén,61.9,78.7
Río Negro,62,76.6
Salta,70.2,65.1
San Juan,63.4,64.4
San Luis,62.8,78.9
Santa Cruz,57.8,86
Santa Fe,65.5,78.6
Santiago del Estero,83.7,49.5
"Tierra del Fuego, Antártida e Islas
del Atlántico Sur (1)",55.9,83.9
Tucumán,73.7,66.3
Buenos Aires,63.6,84.1
