Jurisdiccion,Total de población,Población en viviendas particulares
Catamarca,429556,427415
Chaco,1142963,1137027
Chubut,603120,599568
Córdoba,3978984,3946235
Corrientes,1197553,1195538
Entre Ríos,1426426,1416324
Formosa,606041,604278
Jujuy,797955,797009
La Pampa,366022,364556
La Rioja,384607,383128
Mendoza,2014533,2001281
Misiones,1280960,1275142
Neuquén,726590,723663
Río Negro,762067,758001
Salta,1440672,1431838
San Juan,818234,814856
San Luis,540905,539868
Santa Cruz,333473,331707
Santa Fe,3556522,3535792
Santiago del Estero,1054028,1050218
"Tierra del Fuego, Antártida e Islas
del Atlántico Sur (2)",190641,189785
Tucumán,1703186,1700788
Buenos Aires,9564679.5,9498685.0
